rowid,bldgclass,bsmttype,floodtype,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
1,A0,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
2,A0,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
3,A0,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
4,A0,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
5,A1,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
6,A1,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
7,A1,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
8,A1,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
9,A2,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
10,A2,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
11,A2,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
12,A2,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
13,A3,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
14,A3,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
15,A3,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
16,A3,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
17,A4,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
18,A4,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
19,A4,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
20,A4,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
21,A5,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
22,A5,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
23,A5,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
24,A5,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
25,A6,Yes,Fresh,0.7,1.4,3.5,5.6,7,45,63,76,87,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
26,A6,Yes,Salt,0.84,1.68,4.2,6.72,8.4,54,75.6,91.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
27,A6,No,Fresh,0,0,0,0,0,38,56,69,80,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
28,A6,No,Salt,0,0,0,0,0,45.6,67.2,82.8,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
29,A7,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
30,A7,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
31,A7,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
32,A7,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
33,A8,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
34,A8,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
35,A8,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
36,A8,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
37,A9,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
38,A9,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
39,A9,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
40,A9,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
41,B1,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
42,B1,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
43,B1,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
44,B1,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
45,B2,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
46,B2,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
47,B2,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
48,B2,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
49,B3,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
50,B3,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
51,B3,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
52,B3,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
53,B9,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
54,B9,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
55,B9,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
56,B9,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
57,Z0,Yes,Fresh,1.2,2.4,6,9.6,12,15,19,24,26,29,31,32,37,42,45,46,47,49,50,51,52,54,55,56,57,59,60,61,63
58,Z0,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,22.8,28.8,31.2,34.8,37.2,38.4,44.4,50.4,54,55.2,56.4,58.8,60,61.2,62.4,64.8,66,67.2,68.4,70.8,72,73.2,75.6
59,Z0,No,Fresh,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56
60,Z0,No,Salt,0,0,0,0,6,9.6,14.4,20.4,22.8,26.4,28.8,30,36,42,45.6,46.8,48,50.4,51.6,52.8,54,56.4,57.6,58.8,60,62.4,63.6,64.8,67.2
61,C0,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
62,C0,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
63,C0,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
64,C0,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
65,C1,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
66,C1,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
67,C1,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
68,C1,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
69,C2,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
70,C2,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
71,C2,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
72,C2,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
73,C3,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
74,C3,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
75,C3,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
76,C3,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
77,C4,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
78,C4,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
79,C4,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
80,C4,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
81,C5,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
82,C5,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
83,C5,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
84,C5,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
85,C6,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
86,C6,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
87,C6,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
88,C6,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
89,C8,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
90,C8,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
91,C8,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
92,C8,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
93,C9,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
94,C9,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
95,C9,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
96,C9,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
97,CM,Yes,Fresh,2.2,4.4,11,17.6,22,23,32,35,36,38,47,50,50,52,53,54,54,56,57,58,59,60,61,62,63,64,65,66,67
98,CM,Yes,Salt,2.64,5.28,13.2,21.12,26.4,27.6,38.4,42,43.2,45.6,56.4,60,60,62.4,63.6,64.8,64.8,67.2,68.4,69.6,70.8,72,73.2,74.4,75.6,76.8,78,79.2,80.4
99,CM,No,Fresh,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60
100,CM,No,Salt,0,0,0,0,18,19.2,30,33.6,34.8,37.2,48,51.6,51.6,54,55.2,56.4,56.4,58.8,60,61.2,62.4,63.6,64.8,66,67.2,68.4,69.6,70.8,72
101,R1,Yes,Fresh,1.2,2.4,6,9.6,12,35,36,38,43,44,46,47,48,49,51,53,55,59,62,65,68,71,75,76,77,78,79,80,81
102,R1,Yes,Salt,1.44,2.88,7.2,11.52,14.4,42,43.2,45.6,51.6,52.8,55.2,56.4,57.6,58.8,61.2,63.6,66,70.8,74.4,78,81.6,85.2,90,91.2,92.4,93.6,94.8,96,97.2
103,R1,No,Fresh,0,0,0,0,5,28,29,31,36,37,39,40,41,42,44,46,48,52,55,58,61,64,68,69,70,71,72,73,74
104,R1,No,Salt,0,0,0,0,6,33.6,34.8,37.2,43.2,44.4,46.8,48,49.2,50.4,52.8,55.2,57.6,62.4,66,69.6,73.2,76.8,81.6,82.8,84,85.2,86.4,87.6,88.8
105,R2,Yes,Fresh,1.2,2.4,6,9.6,12,35,36,38,43,44,46,47,48,49,51,53,55,59,62,65,68,71,75,76,77,78,79,80,81
106,R2,Yes,Salt,1.44,2.88,7.2,11.52,14.4,42,43.2,45.6,51.6,52.8,55.2,56.4,57.6,58.8,61.2,63.6,66,70.8,74.4,78,81.6,85.2,90,91.2,92.4,93.6,94.8,96,97.2
107,R2,No,Fresh,0,0,0,0,5,28,29,31,36,37,39,40,41,42,44,46,48,52,55,58,61,64,68,69,70,71,72,73,74
108,R2,No,Salt,0,0,0,0,6,33.6,34.8,37.2,43.2,44.4,46.8,48,49.2,50.4,52.8,55.2,57.6,62.4,66,69.6,73.2,76.8,81.6,82.8,84,85.2,86.4,87.6,88.8
109,R3,Yes,Fresh,1.2,2.4,6,9.6,12,35,36,38,43,44,46,47,48,49,51,53,55,59,62,65,68,71,75,76,77,78,79,80,81
110,R3,Yes,Salt,1.44,2.88,7.2,11.52,14.4,42,43.2,45.6,51.6,52.8,55.2,56.4,57.6,58.8,61.2,63.6,66,70.8,74.4,78,81.6,85.2,90,91.2,92.4,93.6,94.8,96,97.2
111,R3,No,Fresh,0,0,0,0,5,28,29,31,36,37,39,40,41,42,44,46,48,52,55,58,61,64,68,69,70,71,72,73,74
112,R3,No,Salt,0,0,0,0,6,33.6,34.8,37.2,43.2,44.4,46.8,48,49.2,50.4,52.8,55.2,57.6,62.4,66,69.6,73.2,76.8,81.6,82.8,84,85.2,86.4,87.6,88.8
113,R6,Yes,Fresh,1.2,2.4,6,9.6,12,35,36,38,43,44,46,47,48,49,51,53,55,59,62,65,68,71,75,76,77,78,79,80,81
114,R6,Yes,Salt,1.44,2.88,7.2,11.52,14.4,42,43.2,45.6,51.6,52.8,55.2,56.4,57.6,58.8,61.2,63.6,66,70.8,74.4,78,81.6,85.2,90,91.2,92.4,93.6,94.8,96,97.2
115,R6,No,Fresh,0,0,0,0,5,28,29,31,36,37,39,40,41,42,44,46,48,52,55,58,61,64,68,69,70,71,72,73,74
116,R6,No,Salt,0,0,0,0,6,33.6,34.8,37.2,43.2,44.4,46.8,48,49.2,50.4,52.8,55.2,57.6,62.4,66,69.6,73.2,76.8,81.6,82.8,84,85.2,86.4,87.6,88.8
117,D0,Yes,Fresh,1.2,2.4,6,9.6,12,35,36,38,43,44,46,47,48,49,51,53,55,59,62,65,68,71,75,76,77,78,79,80,81
118,D0,Yes,Salt,1.44,2.88,7.2,11.52,14.4,42,43.2,45.6,51.6,52.8,55.2,56.4,57.6,58.8,61.2,63.6,66,70.8,74.4,78,81.6,85.2,90,91.2,92.4,93.6,94.8,96,97.2
119,D0,No,Fresh,0,0,0,0,5,28,29,31,36,37,39,40,41,42,44,46,48,52,55,58,61,64,68,69,70,71,72,73,74
120,D0,No,Salt,0,0,0,0,6,33.6,34.8,37.2,43.2,44.4,46.8,48,49.2,50.4,52.8,55.2,57.6,62.4,66,69.6,73.2,76.8,81.6,82.8,84,85.2,86.4,87.6,88.8
121,D1,Yes,Fresh,1.2,2.4,6,9.6,12,35,36,38,43,44,46,47,48,49,51,53,55,59,62,65,68,71,75,76,77,78,79,80,81
122,D1,Yes,Salt,1.44,2.88,7.2,11.52,14.4,42,43.2,45.6,51.6,52.8,55.2,56.4,57.6,58.8,61.2,63.6,66,70.8,74.4,78,81.6,85.2,90,91.2,92.4,93.6,94.8,96,97.2
123,D1,No,Fresh,0,0,0,0,5,28,29,31,36,37,39,40,41,42,44,46,48,52,55,58,61,64,68,69,70,71,72,73,74
124,D1,No,Salt,0,0,0,0,6,33.6,34.8,37.2,43.2,44.4,46.8,48,49.2,50.4,52.8,55.2,57.6,62.4,66,69.6,73.2,76.8,81.6,82.8,84,85.2,86.4,87.6,88.8
125,D2,Yes,Fresh,1.2,2.4,6,9.6,12,35,36,38,43,44,46,47,48,49,51,53,55,59,62,65,68,71,75,76,77,78,79,80,81
126,D2,Yes,Salt,1.44,2.88,7.2,11.52,14.4,42,43.2,45.6,51.6,52.8,55.2,56.4,57.6,58.8,61.2,63.6,66,70.8,74.4,78,81.6,85.2,90,91.2,92.4,93.6,94.8,96,97.2
